l_dm,p_MPa
19.3689,8.18416
19.4108,8.16705
19.4528,8.15
19.4948,8.133
19.5369,8.11605
19.5789,8.09916
19.621,8.08233
19.6631,8.06555
19.7052,8.04883
19.7473,8.03216
19.7894,8.01554
19.8316,7.99898
19.8738,7.98247
19.916,7.96602
19.9582,7.94962
20.0005,7.93327
20.0427,7.91698
20.085,7.90074
20.1273,7.88455
20.1696,7.86841
20.212,7.85233
20.2543,7.8363
20.2967,7.82032
20.3391,7.80439
20.3815,7.78851
20.424,7.77268
20.4664,7.75691
20.5089,7.74118
20.5514,7.72551
20.5939,7.70988
20.6364,7.69431
20.679,7.67878
20.7215,7.66331
20.7641,7.64788
20.8067,7.6325
20.8494,7.61718
20.892,7.6019
20.9347,7.58667
20.9773,7.57148
21.02,7.55635
21.0628,7.54126
21.1055,7.52622
21.1482,7.51123
21.191,7.49629
21.2338,7.48139
21.2766,7.46654
21.3194,7.45173
21.3623,7.43698
21.4051,7.42227
21.448,7.4076
21.4909,7.39298
21.5338,7.37841
21.5768,7.36388
21.6197,7.3494
21.6627,7.33496
21.7057,7.32057
21.7487,7.30622
21.7917,7.29192
21.8347,7.27766
21.8778,7.26345
21.9209,7.24928
21.964,7.23516
22.0071,7.22107
22.0502,7.20704
22.0933,7.19304
22.1365,7.17909
22.1797,7.16518
22.2229,7.15131
22.2661,7.13749
22.3093,7.12371
22.3526,7.10997
22.3958,7.09628
22.4391,7.08262
22.4824,7.06901
22.5257,7.05544
22.5691,7.04191
22.6124,7.02842
22.6558,7.01497
22.6992,7.00157
22.7426,6.9882
22.786,6.97488
22.8295,6.96159
22.8729,6.94835
22.9164,6.93515
22.9599,6.92198
23.0034,6.90886
23.0469,6.89578
23.0904,6.88273
23.134,6.86973
23.1776,6.85676
23.2211,6.84383
23.2648,6.83095
23.3084,6.8181
23.352,6.80529
23.3957,6.79251
23.4393,6.77978
23.483,6.76708
23.5267,6.75443
23.5705,6.74181
23.6142,6.72922
23.6579,6.71668
23.7017,6.70417
23.7455,6.6917
23.7893,6.67927
23.8331,6.66687
23.877,6.65451
23.9208,6.64219
23.9647,6.6299
24.0086,6.61765
24.0525,6.60544
24.0964,6.59326
24.1403,6.58112
24.1843,6.56902
24.2282,6.55695
24.2722,6.54491
24.3162,6.53291
24.3602,6.52095
24.4042,6.50902
24.4483,6.49712
24.4923,6.48527
24.5364,6.47344
24.5805,6.46165
24.6246,6.4499
24.6687,6.43817
24.7129,6.42649
24.757,6.41483
24.8012,6.40321
24.8454,6.39163
24.8896,6.38008
24.9338,6.36856
24.978,6.35707
25.0223,6.34562
25.0665,6.3342
25.1108,6.32282
25.1551,6.31146
25.1994,6.30014
25.2437,6.28886
25.2881,6.2776
25.3324,6.26638
25.3768,6.25519
25.4212,6.24403
25.4656,6.2329
25.51,6.22181
25.5544,6.21075
25.5989,6.19972
25.6433,6.18872
25.6878,6.17775
25.7323,6.16681
25.7768,6.1559
25.8213,6.14503
25.8659,6.13419
25.9104,6.12337
25.955,6.11259
25.9995,6.10184
26.0441,6.09112
26.0888,6.08043
26.1334,6.06976
26.178,6.05913
26.2227,6.04853
26.2673,6.03796
26.312,6.02742
26.3567,6.01691
26.4014,6.00643
26.4462,5.99597
26.4909,5.98555
26.5357,5.97516
26.5804,5.96479
26.6252,5.95445
26.67,5.94415
26.7148,5.93387
26.7596,5.92362
26.8045,5.9134
26.8493,5.9032
26.8942,5.89304
26.9391,5.8829
26.984,5.87279
27.0289,5.86271
27.0738,5.85266
27.1188,5.84264
27.1637,5.83264
27.2087,5.82267
27.2537,5.81273
27.2987,5.80282
27.3437,5.79293
27.3887,5.78307
27.4338,5.77324
27.4788,5.76343
27.5239,5.75365
27.569,5.7439
27.6141,5.73418
27.6592,5.72448
27.7043,5.7148
27.7495,5.70516
27.7946,5.69554
27.8398,5.68595
27.885,5.67638
27.9302,5.66684
27.9754,5.65732
28.0206,5.64783
28.0658,5.63837
28.1111,5.62893
28.1563,5.61952
28.2016,5.61013
28.2469,5.60077
28.2922,5.59144
28.3375,5.58212
28.3829,5.57284
28.4282,5.56358
28.4736,5.55434
28.5189,5.54513
28.5643,5.53594
28.6097,5.52678
28.6551,5.51765
28.7006,5.50853
28.746,5.49944
28.7914,5.49038
28.8369,5.48134
28.8824,5.47232
28.9279,5.46333
28.9734,5.45437
29.0189,5.44542
29.0644,5.4365
29.11,5.4276
29.1555,5.41873
29.2011,5.40988
29.2467,5.40106
29.2923,5.39225
29.3379,5.38347
29.3835,5.37472
29.4292,5.36599
29.4748,5.35728
29.5205,5.34859
29.5662,5.33992
29.6119,5.33128
29.6576,5.32266
29.7033,5.31407
29.749,5.3055
29.7947,5.29694
29.8405,5.28842
29.8863,5.27991
29.932,5.27143
29.9778,5.26296
30.0236,5.25452
30.0695,5.24611
30.1153,5.23771
30.1611,5.22933
30.207,5.22098
30.2529,5.21265
30.2987,5.20434
30.3446,5.19605
30.3905,5.18779
30.4365,5.17954
30.4824,5.17132
30.5283,5.16312
30.5743,5.15494
30.6203,5.14678
30.6662,5.13864
30.7122,5.13052
30.7582,5.12242
30.8043,5.11435
30.8503,5.10629
30.8963,5.09826
30.9424,5.09024
30.9885,5.08225
31.0345,5.07427
31.0806,5.06632
31.1267,5.05839
31.1729,5.05048
31.219,5.04258
31.2651,5.03471
31.3113,5.02686
31.3575,5.01903
31.4036,5.01121
31.4498,5.00342
31.496,4.99565
31.5423,4.98789
31.5885,4.98016
31.6347,4.97245
31.681,4.96475
31.7272,4.95708
31.7735,4.94942
31.8198,4.94178
31.8661,4.93417
31.9124,4.92657
31.9587,4.91899
32.0051,4.91143
32.0514,4.90389
32.0978,4.89636
32.1442,4.88886
32.1905,4.88138
32.2369,4.87391
32.2833,4.86646
32.3298,4.85903
32.3762,4.85162
32.4226,4.84423
32.4691,4.83686
32.5156,4.8295
32.562,4.82216
32.6085,4.81485
32.655,4.80755
32.7016,4.80026
32.7481,4.793
32.7946,4.78575
32.8412,4.77852
32.8877,4.77131
32.9343,4.76412
32.9809,4.75694
33.0275,4.74979
33.0741,4.74264
33.1207,4.73552
33.1673,4.72842
33.214,4.72133
33.2606,4.71426
33.3073,4.70721
33.354,4.70017
33.4006,4.69315
33.4473,4.68615
33.4941,4.67917
33.5408,4.6722
33.5875,4.66525
33.6343,4.65831
33.681,4.6514
33.7278,4.6445
33.7746,4.63761
33.8213,4.63075
33.8681,4.6239
33.915,4.61706
33.9618,4.61025
34.0086,4.60345
34.0555,4.59666
34.1023,4.5899
34.1492,4.58315
34.1961,4.57641
34.2429,4.56969
34.2898,4.56299
34.3368,4.5563
34.3837,4.54963
34.4306,4.54298
34.4776,4.53634
34.5245,4.52972
34.5715,4.52311
34.6185,4.51652
